Código IBGE,Município,Diretoria Regional,Mesorregião,Número de alunos extremamente pobres beneficiários atualmente,Número de famílias extremamente pobres beneficiárias atualmente,Número de alunos extremamente pobres da lista atual que receberam o benefício,"Número de alunos extremamente pobres que receberam o benefício, incluindo os alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício,"Número de famílias extremamente pobres que receberam o benefício, incluindo as famílias que têm alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício parcialmente,Número de alunos extremamente pobres da lista atual que receberam o benefício parcialmente,Número de famílias extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de alunos extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de famílias extremamente pobres da lista atual que receberam mais que o valor do benefício,Número de alunos extremamente pobres da lista atual que receberam mais que o valor do benefício,Percentual de alunos extremamente pobres da lista atual que receberam o benefício,Percentual de famílias extremamente pobres da lista atual que receberam o benefício,Total de dinheiro repassado aos beneficiários da lista atual de extremamente pobres,"Total de dinheiro repassado aos beneficiários extremamente pobres, incluindo os bloqueados"
3100104,ABADIA DOS DOURADOS,Uberlândia,Triângulo Mineiro/Alto Paranaíba,78,61,66,66,51,51,31,36,20,30,0,0,0.8461538461538461,0.8360655737704918,16200,16200
3100203,ABAETE,Divinópolis,Central Mineira,98,69,91,97,65,66,34,47,31,44,0,0,0.9285714285714286,0.9420289855072463,22600,23100
3100302,ABRE CAMPO,Timóteo,Zona da Mata,461,323,346,352,233,237,58,74,173,268,2,4,0.7505422993492408,0.7213622291021672,97300,97900
3100401,ACAIACA,Timóteo,Zona da Mata,167,131,164,170,129,134,30,36,98,126,1,2,0.9820359281437125,0.9847328244274809,45700,46200
3100500,ACUCENA,Governador Valadares,Vale do Rio Doce,396,264,340,348,220,222,69,101,150,238,1,1,0.8585858585858586,0.8333333333333334,91900,92300
3100609,AGUA BOA,Teófilo Otoni,Vale do Rio Doce,1546,1012,1339,1354,855,862,141,202,708,1130,6,7,0.8661060802069858,0.8448616600790514,381450,382150
3100708,AGUA COMPRIDA,Uberaba,Triângulo Mineiro/Alto Paranaíba,61,48,58,60,45,45,13,19,32,39,0,0,0.9508196721311475,0.9375,15500,15500
3100807,AGUANIL,Divinópolis,Oeste de Minas,53,42,44,47,36,38,14,16,22,28,0,0,0.8301886792452831,0.8571428571428571,11600,11900
3100906,AGUAS FORMOSAS,Teófilo Otoni,Vale do Mucuri,1492,966,1457,1481,938,950,216,296,714,1150,8,11,0.9765415549597856,0.9710144927536232,408000,409400
3101003,AGUAS VERMELHAS,Salinas,Norte de Minas,1352,878,1345,1358,873,881,89,120,781,1221,3,4,0.9948224852071006,0.9943052391799544,391750,392650
3101102,AIMORES,Governador Valadares,Vale do Rio Doce,511,369,489,511,354,364,109,137,242,349,3,3,0.9569471624266145,0.959349593495935,133300,134600
3101201,AIURUOCA,Varginha,Sul/Sudoeste de Minas,67,51,45,45,37,37,20,26,17,19,0,0,0.6716417910447762,0.7254901960784313,10850,10850
3101300,ALAGOA,Varginha,Sul/Sudoeste de Minas,16,16,14,14,14,14,2,2,12,12,0,0,0.875,0.875,4000,4000
3101409,ALBERTINA,Poços de Caldas,Sul/Sudoeste de Minas,4,3,3,3,2,2,1,2,1,1,0,0,0.75,0.6666666666666666,700,700
3101508,ALEM PARAIBA,Juiz de Fora,Zona da Mata,523,385,465,479,340,346,160,204,178,259,2,2,0.8891013384321224,0.8831168831168831,119400,120200
3101607,ALFENAS,Varginha,Sul/Sudoeste de Minas,927,628,869,892,583,589,247,358,328,498,8,13,0.9374325782092773,0.928343949044586,225850,226950
3101631,ALFREDO VASCONCELOS,São João Del Rei,Campo das Vertentes,100,77,81,82,61,61,34,47,27,34,0,0,0.81,0.7922077922077922,19600,19600
3101706,ALMENARA,Almenara,Jequitinhonha,1442,1117,1203,1219,918,926,303,370,609,824,6,9,0.834257975034674,0.8218442256042973,324200,325200
3101805,ALPERCATA,Governador Valadares,Vale do Rio Doce,149,128,136,138,116,116,62,71,54,65,0,0,0.912751677852349,0.90625,33700,33700
3101904,ALPINOPOLIS,Passos,Sul/Sudoeste de Minas,120,88,111,119,82,84,36,44,46,67,0,0,0.925,0.9318181818181818,28900,29400
3102001,ALTEROSA,Passos,Sul/Sudoeste de Minas,213,165,185,186,144,144,77,92,66,92,1,1,0.8685446009389671,0.8727272727272727,46400,46400
3102050,ALTO CAPARAO,Muriaé,Zona da Mata,91,81,78,82,69,70,30,34,39,44,0,0,0.8571428571428571,0.8518518518518519,20000,20200
3102100,ALTO RIO DOCE,São João Del Rei,Zona da Mata,773,552,688,698,486,490,102,136,383,550,1,2,0.890038809831824,0.8804347826086957,192900,193500
3102209,ALVARENGA,Governador Valadares,Vale do Rio Doce,206,164,205,210,163,166,70,80,93,125,0,0,0.9951456310679612,0.9939024390243902,53450,53950
3102308,ALVINOPOLIS,Timóteo,Metropolitana de Belo Horizonte,590,412,584,592,406,409,111,138,293,444,2,2,0.9898305084745763,0.9854368932038835,161600,161900
3102407,ALVORADA DE MINAS,Diamantina,Metropolitana de Belo Horizonte,457,251,363,368,193,195,33,43,158,318,2,2,0.7943107221006565,0.7689243027888446,104800,105000
3102506,AMPARO DA SERRA,Muriaé,Zona da Mata,157,131,136,137,115,115,56,59,59,77,0,0,0.8662420382165605,0.8778625954198473,34850,34850
3102605,ANDRADAS,Poços de Caldas,Sul/Sudoeste de Minas,103,77,77,80,58,60,26,34,32,43,0,0,0.7475728155339806,0.7532467532467533,19700,20000
