Código.IBGE,municipio,Diretoria.Regional,Mesorregião,n_alunos_beneficiarios_atualmente,n_familias_beneficiarias_atualmente,n_alunos_receberam_lista_atual,n_alunos_receberam_incluindo_bloqueados,n_familias_receberam_lista_atual,n_familias_receberam_incluindo_bloqueados,n_familias_atuais_receberam_parcialmente,n_alunos_atuais_receberam_parcialmente,n_familias_atuais_receberam_tudo,n_alunos_atuais_receberam_tudo,n_familias_atuais_receberam_a_mais,n_alunos_atuais_receberam_a_mais,perc_alunos_receberam_lista_atual,perc_familias_receberam_lista_atual,total_dinheiro_lista_atual,total_dinheiro
3100104,ABADIA DOS DOURADOS,Uberlândia,Triângulo Mineiro/Alto Paranaíba,31,21,2,2,1,1,0,0,1,2,0,0,0.06451612903225806,0.047619047619047616,200,200
3100203,ABAETE,Divinópolis,Central Mineira,151,106,93,93,61,61,0,0,61,93,0,0,0.6158940397350994,0.5754716981132075,9300,9300
3100302,ABRE CAMPO,Timóteo,Zona da Mata,129,84,56,56,40,40,0,0,40,56,0,0,0.43410852713178294,0.47619047619047616,5600,5600
3100401,ACAIACA,Timóteo,Zona da Mata,21,15,19,19,13,13,0,0,13,19,0,0,0.9047619047619048,0.8666666666666667,1900,1900
3100500,ACUCENA,Governador Valadares,Vale do Rio Doce,82,51,26,26,13,13,0,0,13,26,0,0,0.3170731707317073,0.2549019607843137,2600,2600
3100609,AGUA BOA,Teófilo Otoni,Vale do Rio Doce,92,43,41,41,18,18,0,0,18,41,0,0,0.44565217391304346,0.4186046511627907,4100,4100
3100807,AGUANIL,Divinópolis,Oeste de Minas,20,17,6,6,5,5,0,0,5,6,0,0,0.3,0.29411764705882354,600,600
3100906,AGUAS FORMOSAS,Teófilo Otoni,Vale do Mucuri,194,114,91,91,50,50,0,0,50,91,0,0,0.4690721649484536,0.43859649122807015,9100,9100
3101003,AGUAS VERMELHAS,Salinas,Norte de Minas,102,50,48,48,21,21,0,0,21,48,0,0,0.47058823529411764,0.42,4800,4800
3101102,AIMORES,Governador Valadares,Vale do Rio Doce,258,183,89,89,57,57,0,0,57,89,0,0,0.3449612403100775,0.3114754098360656,8900,8900
3101201,AIURUOCA,Varginha,Sul/Sudoeste de Minas,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101300,ALAGOA,Varginha,Sul/Sudoeste de Minas,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101409,ALBERTINA,Poços de Caldas,Sul/Sudoeste de Minas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101508,ALEM PARAIBA,Juiz de Fora,Zona da Mata,225,144,37,37,23,23,0,0,23,37,0,0,0.16444444444444445,0.1597222222222222,3700,3700
3101607,ALFENAS,Varginha,Sul/Sudoeste de Minas,437,314,117,117,80,80,0,0,80,117,0,0,0.26773455377574373,0.25477707006369427,11700,11700
3101631,ALFREDO VASCONCELOS,São João Del Rei,Campo das Vertentes,103,73,9,9,7,7,0,0,7,9,0,0,0.08737864077669903,0.0958904109589041,900,900
