Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Número de famílias extremamente pobres potenciais beneficiárias,Número de famílias extremamente pobres que receberam o benefício,Percentual de famílias extremamente pobres que receberam o benefício,Número de famílias pobres potenciais beneficiárias,Número de famílias pobres que receberam o benefício,Percentual de famílias pobres que receberam o benefício,Valor repassado aos beneficiários
Uberlândia,3100104,Abadia dos Dourados,78,66,0.8461538461538461,31,2,0.06451612903225806,61,51,0.8360655737704918,21,1,0.047619047619047616,16400
Divinópolis,3100203,Abaeté,98,91,0.9285714285714286,151,94,0.6225165562913907,69,65,0.9420289855072463,106,62,0.5849056603773585,32000
Timóteo,3100302,Abre Campo,461,346,0.7505422993492408,129,56,0.43410852713178294,323,233,0.7213622291021672,84,40,0.47619047619047616,102900
Timóteo,3100401,Acaiaca,167,164,0.9820359281437125,21,19,0.9047619047619048,131,129,0.9847328244274809,15,13,0.8666666666666667,47600
Governador Valadares,3100500,Açucena,396,340,0.8585858585858586,82,27,0.32926829268292684,264,220,0.8333333333333334,51,14,0.27450980392156865,94600
Teófilo Otoni,3100609,Água Boa,1546,1339,0.8661060802069858,92,41,0.44565217391304346,1012,855,0.8448616600790514,43,18,0.4186046511627907,385550
Uberaba,3100708,Água Comprida,61,58,0.9508196721311475,0,0,0,48,45,0.9375,0,0,0,15500
Divinópolis,3100807,Aguanil,53,44,0.8301886792452831,20,6,0.3,42,36,0.8571428571428571,17,5,0.29411764705882354,12200
Teófilo Otoni,3100906,Águas Formosas,1492,1457,0.9765415549597856,197,98,0.49746192893401014,966,938,0.9710144927536232,114,52,0.45614035087719296,417800
Salinas,3101003,Águas Vermelhas,1352,1345,0.9948224852071006,102,49,0.4803921568627451,878,873,0.9943052391799544,50,22,0.44,396650
Governador Valadares,3101102,Aimorés,511,489,0.9569471624266145,258,93,0.36046511627906974,369,354,0.959349593495935,183,61,0.3333333333333333,142600
Varginha,3101201,Aiuruoca,67,45,0.6716417910447762,14,0,0,51,37,0.7254901960784313,12,0,0,10850
Varginha,3101300,Alagoa,16,14,0.875,7,0,0,16,14,0.875,6,0,0,4000
Poços de Caldas,3101409,Albertina,4,3,0.75,1,0,0,3,2,0.6666666666666666,1,0,0,700
Juiz de Fora,3101508,Além Paraíba,523,465,0.8891013384321224,225,40,0.17777777777777778,385,340,0.8831168831168831,144,25,0.1736111111111111,123400
Varginha,3101607,Alfenas,927,869,0.9374325782092773,438,117,0.2671232876712329,628,583,0.928343949044586,315,80,0.25396825396825395,237550
São João Del Rei,3101631,Alfredo Vasconcelos,100,81,0.81,103,9,0.08737864077669903,77,61,0.7922077922077922,73,7,0.0958904109589041,20500
Almenara,3101706,Almenara,1442,1203,0.834257975034674,178,54,0.30337078651685395,1117,918,0.8218442256042973,129,35,0.2713178294573643,329600
Governador Valadares,3101805,Alpercata,149,136,0.912751677852349,32,16,0.5,128,116,0.90625,26,11,0.4230769230769231,35300
Passos,3101904,Alpinópolis,120,111,0.925,184,91,0.4945652173913043,88,82,0.9318181818181818,130,65,0.5,38000
Passos,3102001,Alterosa,213,185,0.8685446009389671,95,23,0.24210526315789474,165,144,0.8727272727272727,67,17,0.2537313432835821,48700
Muriaé,3102050,Alto Caparaó,91,78,0.8571428571428571,55,19,0.34545454545454546,81,69,0.8518518518518519,43,15,0.3488372093023256,21900
São João Del Rei,3102100,Alto Rio Doce,773,688,0.890038809831824,49,23,0.46938775510204084,552,486,0.8804347826086957,33,15,0.45454545454545453,195200
Governador Valadares,3102209,Alvarenga,206,205,0.9951456310679612,47,13,0.2765957446808511,164,163,0.9939024390243902,30,7,0.23333333333333334,54750
Timóteo,3102308,Alvinópolis,590,584,0.9898305084745763,147,85,0.5782312925170068,412,406,0.9854368932038835,100,58,0.58,170100
Diamantina,3102407,Alvorada de Minas,457,363,0.7943107221006565,45,15,0.3333333333333333,251,193,0.7689243027888446,21,5,0.23809523809523808,106300
Muriaé,3102506,Amparo da Serra,157,136,0.8662420382165605,7,0,0,131,115,0.8778625954198473,4,0,0,34850
Poços de Caldas,3102605,Andradas,103,77,0.7475728155339806,178,33,0.1853932584269663,77,58,0.7532467532467533,139,18,0.12949640287769784,23000
Salinas,3102704,Cachoeira de Pajeú,679,677,0.9970544918998527,60,37,0.6166666666666667,479,477,0.9958246346555324,36,20,0.5555555555555556,198800
Juiz de Fora,3102803,Andrelândia,174,148,0.8505747126436781,43,3,0.06976744186046512,151,129,0.8543046357615894,38,2,0.05263157894736842,35900
Diamantina,3102852,Angelândia,607,530,0.8731466227347611,145,78,0.5379310344827586,373,322,0.8632707774798928,75,36,0.48,161300
São João Del Rei,3102902,Antônio Carlos,197,177,0.8984771573604061,142,27,0.19014084507042253,132,117,0.8863636363636364,103,18,0.17475728155339806,47100
Timóteo,3103009,Antônio Dias,372,353,0.9489247311827957,86,27,0.313953488372093,263,246,0.935361216730038,54,18,0.3333333333333333,100700
Muriaé,3103108,Antônio Prado de Minas,44,36,0.8181818181818182,21,8,0.38095238095238093,31,25,0.8064516129032258,15,5,0.3333333333333333,10500
Curvelo,3103207,Araçaí,28,23,0.8214285714285714,7,0,0,24,21,0.875,6,0,0,6200
Juiz de Fora,3103306,Aracitaba,24,24,1,12,9,0.75,21,21,1,11,9,0.8181818181818182,7800
Araçuaí,3103405,Araçuaí,1862,1773,0.952201933404941,362,162,0.44751381215469616,1199,1133,0.944954128440367,237,97,0.4092827004219409,516200
Uberlândia,3103504,Araguari,1523,1473,0.9671700590938936,761,195,0.25624178712220763,1022,982,0.9608610567514677,520,126,0.2423076923076923,408900
Juiz de Fora,3103603,Arantina,43,37,0.8604651162790697,1,0,0,40,34,0.85,1,0,0,9500
Muriaé,3103702,Araponga,167,110,0.6586826347305389,122,20,0.16393442622950818,120,81,0.675,93,14,0.15053763440860216,31900
Uberlândia,3103751,Araporã,16,15,0.9375,6,1,0.16666666666666666,16,15,0.9375,6,1,0.16666666666666666,3600
Patos de Minas,3103801,Arapuá,22,22,1,5,0,0,17,17,1,5,0,0,5100
Divinópolis,3103900,Araújos,34,30,0.8823529411764706,30,6,0.2,23,20,0.8695652173913043,23,3,0.13043478260869565,8800
Uberaba,3104007,Araxá,1322,1273,0.9629349470499243,308,124,0.4025974025974026,1005,962,0.9572139303482587,209,79,0.37799043062200954,343700
Poços de Caldas,3104106,Arceburgo,66,65,0.9848484848484849,36,5,0.1388888888888889,48,47,0.9791666666666666,22,3,0.13636363636363635,18900
Divinópolis,3104205,Arcos,279,245,0.8781362007168458,133,25,0.18796992481203006,211,186,0.8815165876777251,102,17,0.16666666666666666,66100
Varginha,3104304,Areado,100,93,0.93,114,29,0.2543859649122807,82,76,0.926829268292683,85,17,0.2,28300
Juiz de Fora,3104403,Argirita,22,22,1,6,3,0.5,18,18,1,5,2,0.4,6400
Diamantina,3104452,Aricanduva,437,374,0.8558352402745996,45,16,0.35555555555555557,276,228,0.8260869565217391,26,7,0.2692307692307692,112400
Paracatu,3104502,Arinos,1010,860,0.8514851485148515,105,51,0.4857142857142857,699,585,0.8369098712446352,59,23,0.3898305084745763,248400
Juiz de Fora,3104601,Astolfo Dutra,133,118,0.8872180451127819,68,5,0.07352941176470588,97,83,0.8556701030927835,54,4,0.07407407407407407,32800
Teófilo Otoni,3104700,Ataléia,890,799,0.8977528089887641,101,29,0.2871287128712871,607,540,0.8896210873146623,64,21,0.328125,235050
Curvelo,3104809,Augusto de Lima,95,86,0.9052631578947369,23,8,0.34782608695652173,74,67,0.9054054054054054,19,6,0.3157894736842105,23900
Varginha,3104908,Baependi,389,275,0.7069408740359897,100,25,0.25,296,216,0.7297297297297297,74,19,0.25675675675675674,73500
Metropolitana,3105004,Baldim,221,217,0.9819004524886877,67,16,0.23880597014925373,165,162,0.9818181818181818,53,11,0.20754716981132076,56900
Divinópolis,3105103,Bambuí,216,195,0.9027777777777778,117,25,0.21367521367521367,149,132,0.8859060402684564,86,15,0.1744186046511628,52100
Almenara,3105202,Bandeira,161,128,0.7950310559006211,57,23,0.40350877192982454,123,93,0.7560975609756098,38,11,0.2894736842105263,39400
Poços de Caldas,3105301,Bandeira do Sul,24,24,1,17,0,0,21,21,1,14,0,0,6700
Metropolitana,3105400,Barão de Cocais,324,301,0.9290123456790124,190,42,0.22105263157894736,236,218,0.923728813559322,145,28,0.19310344827586207,82800
Muriaé,3105509,Barão de Monte Alto,179,177,0.9888268156424581,35,16,0.45714285714285713,131,129,0.9847328244274809,22,8,0.36363636363636365,50900
São João Del Rei,3105608,Barbacena,1180,1110,0.940677966101695,637,129,0.20251177394034536,872,818,0.9380733944954128,451,82,0.18181818181818182,303250
Timóteo,3105707,Barra Longa,339,311,0.9174041297935103,35,12,0.34285714285714286,218,206,0.944954128440367,20,6,0.3,91500
São João Del Rei,3105905,Barroso,712,697,0.9789325842696629,87,25,0.28735632183908044,553,541,0.9783001808318263,66,17,0.25757575757575757,180300
Timóteo,3106002,Bela Vista de Minas,201,187,0.9303482587064676,53,17,0.32075471698113206,149,138,0.9261744966442953,37,10,0.2702702702702703,49800
Juiz de Fora,3106101,Belmiro Braga,66,63,0.9545454545454546,30,10,0.3333333333333333,46,44,0.9565217391304348,21,7,0.3333333333333333,17750
Metropolitana,3106200,Belo Horizonte,16022,15389,0.9604918237423543,6603,2194,0.33227320914735725,11620,11105,0.9556798623063684,4673,1463,0.31307511234752833,4425500
Timóteo,3106309,Belo Oriente,548,533,0.9726277372262774,65,21,0.3230769230769231,449,434,0.9665924276169265,54,15,0.2777777777777778,141150
Metropolitana,3106408,Belo Vale,77,65,0.8441558441558441,84,13,0.15476190476190477,61,54,0.8852459016393442,69,10,0.14492753623188406,16900
Araçuaí,3106507,Berilo,650,634,0.9753846153846154,125,68,0.544,427,416,0.9742388758782201,73,43,0.589041095890411,189300
Teófilo Otoni,3106606,Bertópolis,498,488,0.9799196787148594,13,9,0.6923076923076923,278,270,0.9712230215827338,8,5,0.625,121400
Salinas,3106655,Berizal,449,437,0.9732739420935412,24,14,0.5833333333333334,339,328,0.967551622418879,14,7,0.5,124800
Metropolitana,3106705,Betim,6148,5955,0.9686076772934288,1088,330,0.30330882352941174,4832,4671,0.9666804635761589,840,241,0.2869047619047619,1633000
Juiz de Fora,3106804,Bias Fortes,174,164,0.9425287356321839,12,5,0.4166666666666667,137,128,0.9343065693430657,8,3,0.375,42800
Juiz de Fora,3106903,Bicas,156,146,0.9358974358974359,33,12,0.36363636363636365,120,111,0.925,25,9,0.36,38200
Divinópolis,3107000,Biquinhas,23,17,0.7391304347826086,7,0,0,19,13,0.6842105263157895,7,0,0,4500
Varginha,3107109,Boa Esperança,286,272,0.951048951048951,520,273,0.525,195,183,0.9384615384615385,325,164,0.5046153846153846,97850
Juiz de Fora,3107208,Bocaina de Minas,30,30,1,4,0,0,29,29,1,3,0,0,7700
Montes Claros,3107307,Bocaiúva,3646,3513,0.9635216675809106,263,142,0.5399239543726235,2425,2326,0.9591752577319588,161,80,0.4968944099378882,1017400
Divinópolis,3107406,Bom Despacho,531,482,0.9077212806026366,339,83,0.2448377581120944,374,340,0.9090909090909091,225,57,0.25333333333333335,135800
Juiz de Fora,3107505,Bom Jardim de Minas,99,93,0.9393939393939394,34,5,0.14705882352941177,70,64,0.9142857142857143,26,3,0.11538461538461539,25200
Passos,3107604,Bom Jesus da Penha,102,101,0.9901960784313726,2,2,1,75,74,0.9866666666666667,1,1,1,28050
Metropolitana,3107703,Bom Jesus do Amparo,150,116,0.7733333333333333,54,29,0.5370370370370371,108,84,0.7777777777777778,32,18,0.5625,32800
Timóteo,3107802,Bom Jesus do Galho,1048,946,0.9026717557251909,30,16,0.5333333333333333,804,723,0.8992537313432836,19,8,0.42105263157894735,275050
Poços de Caldas,3107901,Bom Repouso,108,94,0.8703703703703703,173,6,0.03468208092485549,76,66,0.868421052631579,129,4,0.031007751937984496,28700
São João Del Rei,3108008,Bom Sucesso,47,43,0.9148936170212766,270,21,0.07777777777777778,26,24,0.9230769230769231,178,12,0.06741573033707865,13700
Metropolitana,3108107,Bonfim,229,228,0.9956331877729258,17,2,0.11764705882352941,186,185,0.9946236559139785,14,2,0.14285714285714285,58800
Paracatu,3108206,Bonfinópolis de Minas,56,44,0.7857142857142857,49,10,0.20408163265306123,46,36,0.782608695652174,36,7,0.19444444444444445,12800
Montes Claros,3108255,Bonito de Minas,791,677,0.8558786346396966,90,12,0.13333333333333333,472,384,0.8135593220338984,42,7,0.16666666666666666,200000
